Mancini, Trey,641820,2021,616,414,.255,.266,-0.011,.432,.451,-0.019,.326,.340,-0.014
Refsnyder, Rob,608701,2021,157,100,.245,.262,-0.017,.338,.438,-0.100,.296,.340,-0.044
Choi, Ji-Man,596847,2021,305,171,.229,.233,-0.004,.411,.420,-0.009,.334,.340,-0.006
Rooker, Brent,667670,2021,213,119,.201,.238,-0.037,.397,.463,-0.066,.301,.340,-0.039
Higashioka, Kyle,543309,2021,211,135,.181,.231,-0.050,.389,.499,-0.110,.272,.340,-0.068
Naquin, Tyler,571980,2021,454,308,.270,.262,0.008,.477,.457,0.020,.345,.339,0.006
LeMahieu, DJ,518934,2021,679,508,.268,.282,-0.014,.362,.395,-0.033,.315,.339,-0.024
La Stella, Tommy,600303,2021,242,195,.250,.280,-0.030,.405,.460,-0.055,.305,.339,-0.034
Davis, J.D.,605204,2021,211,113,.285,.248,0.037,.436,.408,0.028,.357,.338,0.019
Yelich, Christian,592885,2021,475,289,.248,.254,-0.006,.373,.392,-0.019,.325,.338,-0.013
Tellez, Rowdy,642133,2021,325,233,.242,.263,-0.021,.414,.468,-0.054,.306,.338,-0.032
Vogelbach, Daniel,596129,2021,258,158,.219,.238,-0.019,.381,.390,-0.009,.325,.338,-0.013
Sánchez, Jesús,660821,2021,251,150,.251,.244,0.007,.489,.482,0.007,.339,.337,0.002
Sheets, Gavin,657757,2021,179,121,.250,.246,0.004,.506,.449,0.057,.352,.337,0.015
Fraley, Jake,641584,2021,265,146,.210,.229,-0.019,.369,.361,0.008,.322,.337,-0.015
Arraez, Luis,650333,2021,479,386,.294,.294,0.000,.376,.410,-0.034,.321,.336,-0.015
Gurriel Jr., Lourdes,666971,2021,541,405,.276,.270,0.006,.466,.459,0.007,.333,.336,-0.003
Sánchez, Gary,596142,2021,440,262,.204,.228,-0.024,.423,.452,-0.029,.314,.336,-0.022
Solano, Donovan,456781,2021,344,254,.280,.275,0.005,.404,.432,-0.028,.324,.335,-0.011
Bregman, Alex,608324,2021,400,299,.270,.262,0.008,.422,.421,0.001,.336,.335,0.001
Slater, Austin,596103,2021,306,190,.241,.256,-0.015,.423,.439,-0.016,.321,.335,-0.014
Grossman, Robbie,543257,2021,671,410,.239,.234,0.005,.415,.399,0.016,.337,.335,0.002
Dickerson, Alex,543105,2021,312,207,.233,.260,-0.027,.420,.445,-0.025,.313,.335,-0.022
Murphy, Sean,669221,2021,448,282,.216,.240,-0.024,.405,.439,-0.034,.309,.335,-0.026
Franco, Wander,677551,2021,308,245,.288,.281,0.007,.463,.414,0.049,.348,.334,0.014
Santana, Carlos,467793,2021,659,468,.214,.244,-0.030,.342,.420,-0.078,.294,.334,-0.040
Hicks, Aaron,543305,2021,126,80,.194,.240,-0.046,.333,.421,-0.088,.279,.334,-0.055
Story, Trevor,596115,2021,595,392,.251,.245,0.006,.471,.451,0.020,.341,.333,0.008
Laureano, Ramón,657656,2021,378,244,.246,.244,0.002,.443,.456,-0.013,.327,.333,-0.006
Pederson, Joc,592626,2021,481,317,.238,.243,-0.005,.422,.440,-0.018,.315,.333,-0.018
Harrison, Josh,543281,2021,558,433,.279,.278,0.001,.400,.420,-0.020,.324,.332,-0.008
Altuve, Jose,514888,2021,678,517,.278,.261,0.017,.489,.420,0.069,.357,.332,0.025
Benintendi, Andrew,643217,2021,538,403,.276,.261,0.015,.442,.456,-0.014,.328,.332,-0.004
Albies, Ozzie,645277,2021,686,508,.259,.259,0.000,.488,.464,0.024,.336,.332,0.004
Díaz, Yandy,650490,2021,541,384,.256,.254,0.002,.387,.399,-0.012,.325,.332,-0.007
Urías, Luis,649966,2021,570,378,.249,.241,0.008,.445,.427,0.018,.339,.332,0.007
Canha, Mark,592192,2021,625,393,.231,.231,0.000,.387,.378,0.009,.333,.332,0.001
Jansen, Danny,643376,2021,205,141,.223,.241,-0.018,.473,.457,0.016,.329,.332,-0.003
Bradley, Bobby,656252,2021,279,149,.208,.224,-0.016,.445,.467,-0.022,.314,.332,-0.018
Semien, Marcus,543760,2021,724,509,.265,.244,0.021,.538,.453,0.085,.368,.331,0.037
Torres, Gleyber,650402,2021,516,361,.259,.264,-0.005,.366,.422,-0.056,.307,.331,-0.024
Swanson, Dansby,621020,2021,653,429,.248,.251,-0.003,.449,.456,-0.007,.322,.331,-0.009
Aguilar, Jesús,542583,2021,510,363,.261,.260,0.001,.459,.453,0.006,.330,.330,0.000
DeShields, Delino,592261,2021,58,38,.255,.216,0.039,.426,.405,0.021,.352,.330,0.022
