Chris Martin,ATL,9.90,0.90,11.00,0.90,33.3%,3.0%,30.3%,.063,0.30,.050,100.0%,0.90,2.59,-1.69,3.03,11847
Trevor Bauer,CIN,12.18,2.12,5.75,0.79,35.9%,6.3%,29.7%,.137,0.71,.191,96.5%,1.32,2.60,-1.28,3.38,12703
Travis Lakins Sr.,BAL,11.30,3.14,3.60,0.63,29.0%,8.1%,21.0%,.232,1.26,.316,90.4%,1.88,2.63,-0.75,3.48,18600
Brandon Woodruff,MIL,11.17,2.56,4.36,0.70,31.6%,7.2%,24.3%,.200,1.01,.281,78.2%,2.79,2.65,0.14,3.09,16162
Ryan Brasier,BOS,12.83,4.05,3.17,0.68,32.2%,10.2%,22.0%,.231,1.35,.333,72.3%,3.38,2.67,0.71,3.86,5615
Max Fried,ATL,8.89,3.42,2.60,0.00,24.3%,9.3%,15.0%,.194,1.06,.265,83.9%,1.71,2.70,-0.99,3.94,13743
Shane Bieber,CLE,12.69,2.11,6.00,1.14,37.7%,6.3%,31.4%,.160,0.80,.220,96.5%,1.79,2.72,-0.93,2.51,19427
Julio Urias,LAD,9.35,2.60,3.60,0.52,23.7%,6.6%,17.1%,.257,1.33,.327,64.8%,4.67,2.73,1.94,4.54,14765
Tommy Hunter,PHI,9.69,1.38,7.00,0.69,28.0%,4.0%,24.0%,.174,0.77,.219,62.5%,3.46,2.73,0.73,2.92,1157
Tony Gonsolin,LAD,7.88,2.25,3.50,0.38,22.6%,6.5%,16.1%,.198,0.96,.246,74.1%,2.63,2.73,-0.11,4.52,19388
Matt Andriese,LAA,8.84,2.45,3.60,0.49,27.7%,7.7%,20.0%,.133,0.71,.171,86.2%,1.47,2.76,-1.28,3.83,12022
Stefan Crichton,ARI,7.50,3.00,2.50,0.00,20.4%,8.2%,12.2%,.205,1.08,.265,100.0%,0.00,2.77,-2.77,4.54,16058
Brusdar Graterol,LAD,5.25,0.75,7.00,0.00,15.9%,2.3%,13.6%,.220,0.83,.265,75.0%,2.25,2.77,-0.52,4.06,20367
Max Scherzer,WSN,11.84,2.61,4.55,0.95,31.4%,6.9%,24.5%,.238,1.21,.330,84.2%,2.37,2.80,-0.43,3.46,3137
Dinelson Lamet,SDP,11.96,3.09,3.88,0.77,33.7%,8.7%,25.0%,.171,0.94,.240,84.2%,2.31,2.81,-0.49,3.67,17186
Marco Gonzales,SEA,7.99,1.08,7.40,0.65,21.8%,2.9%,18.8%,.239,1.06,.293,69.4%,3.02,2.86,0.17,4.23,15467
Tanner Houck,BOS,13.91,4.91,2.83,0.82,40.5%,14.3%,26.2%,.139,1.00,.222,100.0%,0.82,2.92,-2.10,2.96,19879
Luis Cessa,NYY,7.15,3.97,1.80,0.00,17.6%,9.8%,7.8%,.267,1.50,.324,76.5%,2.38,2.93,-0.54,5.48,13345
Trevor May,MIN,14.66,2.31,6.33,1.54,38.8%,6.1%,32.7%,.239,1.20,.360,80.4%,3.86,2.93,0.92,2.69,6398
Lucas Giolito,CHW,13.34,2.79,4.78,1.24,37.7%,7.9%,29.8%,.202,1.03,.293,77.9%,2.79,2.95,-0.16,2.62,15474
Daniel Norris,DET,10.50,2.00,5.25,1.00,28.4%,5.4%,23.0%,.214,1.06,.277,67.9%,4.00,2.97,1.03,2.92,13475
Jose Quintana,CHC,10.80,2.70,4.00,0.90,29.3%,7.3%,22.0%,.263,1.30,.360,69.0%,4.50,2.99,1.51,2.85,11423
Yusei Kikuchi,SEA,8.71,3.48,2.50,0.44,23.0%,9.2%,13.8%,.286,1.45,.362,62.9%,5.23,3.05,2.18,3.91,20633
Aaron Civale,CLE,6.53,1.58,4.14,0.45,18.4%,4.4%,13.9%,.259,1.13,.305,70.1%,3.60,3.07,0.53,4.15,19479
Tyler Duffey,MIN,10.97,2.53,4.33,0.84,32.5%,7.5%,25.0%,.111,0.66,.136,90.9%,1.69,3.10,-1.41,3.14,13758
Alex Colome,CHW,6.35,3.97,1.60,0.00,17.0%,10.6%,6.4%,.190,1.15,.235,84.6%,1.59,3.10,-1.51,4.29,6661
